"date","prcp","max","min","mean"
"2021-04-29",0,0.2615499,0,0.210196259090909
"2021-04-30",0,0.2621219,0,0.181089138372093
"2021-05-01",0,0.255976,0,0.166415647674419
"2021-05-02",0,0.2530611,0,0.174468205813953
"2021-05-03",0,0.255688,0,0.183329114634146
"2021-05-04",0,0.2485349,0,0.179616523529412
"2021-05-05",0,0.247483,0,0.155841729069767
"2021-05-06",0,0.2575781,0,0.183164365882353
"2021-05-07",0,0.260504,0,0.177594823255814
"2021-05-08",0,0.2574179,0,0.189394237209302
"2021-05-09",0,0.259928,0,0.174854002409639
"2021-05-10",0,0.2555499,0,0.179831591954023
"2021-05-11",0,0.253257,0,0.173917481111111
"2021-05-12",0,0.2555211,0,0.178548664556962
"2021-05-13",0,0.255949,0,0.173658040697674
"2021-05-14",0,0.261189,0,0.179905617241379
"2021-05-15",0,0.262399,0,0.18252606741573
"2021-05-16",0,0.260921,0,0.189597427777778
"2021-05-17",0,0.258256,0,0.187449246067416
"2021-05-18",0,0.263242,0,0.185575310588235
"2021-05-19",0,0.259634,0,0.186033017241379
"2021-05-20",0,0.2645531,0,0.175582625882353
"2021-05-21",0,0.26054,0,0.195312861627907
"2021-05-22",0,0.2635529,0,0.181260796341463
"2021-05-23",0,0.2575271,0,0.2057231
"2021-05-24",0,0.2546251,0,0.180053119318182
"2021-05-25",0,0.25458,0,0.189027615116279
"2021-05-26",0,0.263027,0,0.186933467045455
"2021-05-27",0,0.262501,0,0.196123304597701
"2021-05-28",0,0.2620161,0,0.186606579310345
"2021-05-29",0,0.2705441,0,0.201825503571429
"2021-05-30",0,0.2666121,0,0.224467408791209
"2021-05-31",0,0.25757,0,0.213375731764706
"2021-06-01",0,0.260843,0,0.19330992247191
"2021-06-02",0,0.269546,0,0.184260474157303
"2021-06-03",0,0.263335,0,0.224467801086957
"2021-06-04",0,0.2683849,0,0.200984317977528
"2021-06-05",0,0.2721269,0,0.20576957816092
"2021-06-06",0,0.270793,0,0.201987394252874
"2021-06-07",0,0.2677259,0,0.202401212087912
"2021-06-08",0,0.2695279,0,0.189539406818182
"2021-06-09",0,0.272342,0,0.185984069879518
"2021-06-10",0,0.2751119,0,0.200937148837209
"2021-06-11",0,0.268173,0,0.192172564444444
"2021-06-12",0,0.2783651,0,0.221011955555556
"2021-06-13",0,0.2779701,0,0.204961094252874
"2021-06-14",0,0.2653949,0,0.207618306666667
"2021-06-15",0,0.26564,0,0.182113119318182
"2021-06-16",0,0.264137,0,0.18194074137931
"2021-06-17",0,0.2672391,0,0.213573226136364
"2021-06-18",0,0.268651,0,0.213054471590909
"2021-06-19",0,0.2707031,0,0.194067661176471
"2021-06-20",0,0.266397,0,0.202995439772727
"2021-06-21",0,0.272542,0,0.181082772093023
"2021-06-22",0,0.271188,0,0.181251933333333
"2021-06-23",0,0.267529,0,0.22359665
"2021-06-24",0,0.270745,0,0.226713919767442
"2021-06-25",0,0.2733591,0,0.21429292967033
"2021-06-26",0,0.2650189,0,0.178805714942529
"2021-06-27",0,0.2726259,0,0.212963710714286
"2021-06-28",0,0.2694571,0,0.196884397777778
"2021-06-29",0,0.2684331,0,0.230105382022472
"2021-06-30",0,0.267647,0,0.218284936956522
"2021-07-01",0,0.265584,0,0.226262510869565
"2021-07-02",0,0.2669451,0,0.183196666666667
"2021-07-03",0,0.2694111,0,0.220087411363636
"2021-07-04",0,0.2731931,0,0.187424936781609
"2021-07-05",0,0.2664111,0,0.211276686046512
"2021-07-06",0,0.258738,0,0.202813185227273
"2021-07-07",0,0.25669,0,0.203101027777778
"2021-07-08",0,0.257324,0,0.207728263636364
"2021-07-09",0,0.2502501,0,0.171358255952381
"2021-07-10",0,0.2555671,0,0.219529147191011
"2021-07-11",0,0.2619021,0,0.200690828089888
"2021-07-12",0,0.263375,0,0.189512676666667
"2021-07-13",0,0.2592871,0,0.174756739759036
"2021-07-14",0,0.262542,0,0.182530898901099
"2021-07-15",0,0.267988,0,0.180770747058824
